Datetime,Label
2017-05-14 19:39,Anomaly
2017-05-14 19:40,Anomaly
2017-05-14 19:41,Anomaly
2017-05-14 19:42,Anomaly
2017-05-14 19:43,Anomaly
2017-05-14 19:44,Anomaly
2017-05-14 19:45,Anomaly
2017-05-14 19:46,Anomaly
2017-05-14 19:47,Anomaly
2017-05-14 19:48,Anomaly
2017-05-14 19:49,Anomaly
2017-05-14 19:50,Anomaly
2017-05-14 19:51,Anomaly
2017-05-14 19:52,Anomaly
2017-05-14 19:53,Anomaly
2017-05-14 19:54,Anomaly
2017-05-14 19:55,Anomaly
2017-05-14 19:56,Anomaly
2017-05-14 19:57,Anomaly
2017-05-14 19:58,Anomaly
2017-05-14 19:59,Anomaly
2017-05-14 20:00,Anomaly
2017-05-14 20:01,Anomaly
2017-05-14 20:02,Anomaly
2017-05-14 20:03,Anomaly
2017-05-14 20:04,Anomaly
2017-05-14 20:05,Anomaly
2017-05-14 20:06,Anomaly
2017-05-14 20:07,Anomaly
2017-05-14 20:08,Anomaly
2017-05-14 20:09,Anomaly
2017-05-14 20:10,Anomaly
2017-05-14 20:11,Anomaly
2017-05-14 20:12,Anomaly
2017-05-14 20:13,Anomaly
2017-05-14 20:14,Anomaly
2017-05-14 20:15,Anomaly
2017-05-14 20:16,Anomaly
2017-05-14 20:17,Anomaly
2017-05-14 20:18,Anomaly
2017-05-14 20:19,Anomaly
2017-05-14 20:20,Anomaly
2017-05-14 20:21,Anomaly
2017-05-14 20:22,Anomaly
2017-05-14 20:23,Anomaly
2017-05-14 20:24,Anomaly
2017-05-14 20:25,Anomaly
2017-05-14 20:26,Anomaly
2017-05-14 20:27,Anomaly
2017-05-14 20:28,Anomaly
2017-05-14 20:29,Anomaly
2017-05-14 20:30,Anomaly
2017-05-14 20:31,Anomaly
2017-05-14 20:32,Anomaly
2017-05-14 20:33,Anomaly
2017-05-14 20:34,Anomaly
2017-05-14 20:35,Anomaly
2017-05-14 20:36,Anomaly
2017-05-14 20:37,Anomaly
2017-05-14 20:38,Anomaly
2017-05-14 20:39,Anomaly
2017-05-14 20:40,Anomaly
2017-05-14 20:41,Anomaly
2017-05-14 20:42,Anomaly
2017-05-14 20:43,Anomaly
2017-05-14 20:44,Anomaly
2017-05-14 20:45,Anomaly
2017-05-14 20:46,Anomaly
2017-05-14 20:47,Anomaly
2017-05-14 20:48,Anomaly
2017-05-14 20:49,Anomaly
2017-05-14 20:50,Anomaly
2017-05-14 20:51,Anomaly
2017-05-14 20:52,Anomaly
2017-05-14 20:53,Anomaly
2017-05-14 20:54,Anomaly
2017-05-14 20:55,Anomaly
2017-05-14 20:56,Anomaly
2017-05-14 20:57,Anomaly
2017-05-14 20:58,Anomaly
2017-05-14 20:59,Anomaly
2017-05-14 21:00,Anomaly
2017-05-14 21:01,Anomaly
2017-05-14 21:02,Anomaly
2017-05-14 21:03,Anomaly
2017-05-14 21:04,Anomaly
2017-05-14 21:05,Anomaly
2017-05-14 21:06,Anomaly
2017-05-14 21:07,Anomaly
2017-05-14 21:08,Anomaly
2017-05-14 21:09,Anomaly
2017-05-14 21:10,Anomaly
2017-05-14 21:11,Anomaly
2017-05-14 21:12,Anomaly
2017-05-14 21:13,Anomaly
2017-05-14 21:14,Anomaly
2017-05-14 21:15,Anomaly
2017-05-14 21:16,Anomaly
2017-05-14 21:17,Anomaly
2017-05-14 21:18,Anomaly
2017-05-14 21:19,Anomaly
2017-05-14 21:20,Anomaly
2017-05-14 21:21,Anomaly
2017-05-14 21:22,Anomaly
2017-05-14 21:23,Anomaly
2017-05-14 21:24,Anomaly
2017-05-14 21:25,Anomaly
2017-05-14 21:26,Anomaly
2017-05-14 21:27,Anomaly
2017-05-14 21:28,Anomaly
2017-05-14 21:29,Anomaly
2017-05-14 21:30,Anomaly
2017-05-14 21:31,Anomaly
2017-05-14 21:32,Anomaly
2017-05-14 21:33,Anomaly
2017-05-14 21:34,Anomaly
2017-05-14 21:35,Anomaly
2017-05-14 21:36,Anomaly
2017-05-14 21:37,Anomaly
2017-05-14 21:38,Anomaly
2017-05-14 21:39,Anomaly
2017-05-14 21:40,Anomaly
2017-05-14 21:41,Anomaly
2017-05-14 21:42,Anomaly
2017-05-14 21:43,Anomaly
2017-05-14 21:44,Anomaly
2017-05-14 21:45,Anomaly
2017-05-14 21:46,Anomaly
2017-05-14 21:47,Anomaly
2017-05-14 21:48,Anomaly
2017-05-14 21:49,Anomaly
2017-05-14 21:50,Anomaly
2017-05-14 21:51,Anomaly
2017-05-14 21:52,Anomaly
2017-05-14 21:53,Anomaly
2017-05-14 21:54,Anomaly
2017-05-14 21:55,Anomaly
2017-05-14 21:56,Anomaly
2017-05-16 00:00,Normal
2017-05-16 00:01,Normal
2017-05-16 00:02,Normal
2017-05-16 00:03,Normal
2017-05-16 00:04,Normal
2017-05-16 00:05,Normal
2017-05-16 00:06,Normal
2017-05-16 00:07,Normal
2017-05-16 00:08,Normal
2017-05-16 00:09,Normal
2017-05-16 00:10,Normal
2017-05-16 00:11,Normal
2017-05-16 00:12,Normal
2017-05-16 00:13,Normal
2017-05-16 00:14,Normal
2017-05-16 00:15,Normal
2017-05-16 00:16,Normal
2017-05-16 00:17,Normal
2017-05-16 00:18,Normal
2017-05-16 00:19,Normal
2017-05-16 00:20,Normal
2017-05-16 00:21,Normal
2017-05-16 00:22,Normal
2017-05-16 00:23,Normal
2017-05-16 00:24,Normal
2017-05-16 00:25,Normal
2017-05-16 00:26,Normal
2017-05-16 00:27,Normal
2017-05-16 00:28,Normal
2017-05-16 00:29,Normal
2017-05-16 00:30,Normal
2017-05-16 00:31,Normal
2017-05-16 00:32,Normal
